0,1,2
65.20189,46.597908,anomaly
75.20214,68.55899,anomaly
58.194057,59.572304,anomaly
52.414627,62.963917,anomaly
-3.7560163,98.26884,anomaly
-2.3732522,94.68225,anomaly
45.908432,60.08767,anomaly
68.1194,47.849705,anomaly
71.75948,54.19527,anomaly
41.2754,49.518593,anomaly
63.349354,59.965076,anomaly
86.510475,-39.735302,anomaly
80.18889,30.117949,anomaly
78.78329,44.3499,anomaly
60.854053,56.66332,anomaly
71.73674,54.139957,anomaly
58.509953,-90.614815,anomaly
58.491306,52.616558,anomaly
69.33127,41.742756,anomaly
74.414154,49.854267,anomaly
68.411964,45.09506,anomaly
66.13797,50.432007,anomaly
74.26209,16.83709,anomaly
-3.7293053,97.21194,anomaly
59.30218,51.89442,anomaly
52.591797,62.858418,anomaly
57.90307,54.371395,anomaly
28.709805,16.494007,anomaly
55.576984,44.33066,anomaly
59.40361,43.69931,anomaly
57.896,54.642845,anomaly
68.785225,42.672394,anomaly
62.629704,45.399548,anomaly
63.39539,55.52848,anomaly
58.53884,-90.71137,anomaly
80.1916,30.114498,anomaly
70.31781,43.44763,anomaly
59.15878,50.11316,anomaly
72.761505,45.976368,anomaly
54.433186,53.848186,anomaly
78.78366,44.350967,anomaly
74.37314,49.81471,anomaly
58.732685,65.055466,anomaly
58.732136,65.05567,anomaly
41.271877,49.517475,anomaly
62.6295,45.39937,anomaly
65.09741,49.729588,anomaly
66.900185,40.6083,anomaly
-0.04283436,100.92637,anomaly
70.52392,47.84351,anomaly
42.51691,57.64842,anomaly
66.61856,54.940983,anomaly
42.52449,57.65099,anomaly
80.18753,30.117832,anomaly
65.74544,50.663513,anomaly
58.822365,50.639084,anomaly
69.5495,43.592167,anomaly
-3.7416494,97.24517,anomaly
75.20478,68.55897,anomaly
45.61397,62.889454,anomaly
54.289375,57.654556,anomaly
56.854202,47.616837,anomaly
57.891693,54.502434,anomaly
67.34305,64.786354,anomaly
52.416203,62.96441,anomaly
67.07509,41.303192,anomaly
76.63586,-32.811478,anomaly
78.78286,44.34973,anomaly
54.37896,57.571674,anomaly
63.25802,41.335033,anomaly
60.25495,46.859524,anomaly
58.12181,53.4299,anomaly
72.76083,45.959934,anomaly
58.41967,-90.08176,anomaly
51.307404,53.245667,anomaly
68.12004,47.85018,anomaly
58.996754,51.422462,anomaly
58.36306,52.578598,anomaly
63.261402,41.333336,anomaly
68.02375,44.927242,anomaly
54.43716,53.849712,anomaly
46.10476,60.25371,anomaly
65.77051,50.644897,anomaly
42.517136,57.651722,anomaly
69.245544,44.573463,anomaly
64.556816,43.85104,anomaly
86.8235,-39.7192,anomaly
66.8872,40.383656,anomaly
-2.8699806,94.83172,anomaly
70.14805,43.825882,anomaly
44.073032,60.824593,anomaly
84.372406,-39.088768,anomaly
62.623665,50.327892,anomaly
49.132687,38.65744,anomaly
67.95687,45.068783,anomaly
-2.1163762,-9.095001,anomaly
54.37903,57.57176,anomaly
58.03688,54.04456,anomaly
70.07786,58.939793,anomaly
67.07935,65.094955,anomaly
51.222797,53.29297,anomaly
41.413517,47.449642,anomaly
58.13867,59.67017,anomaly
58.324894,52.736847,anomaly
66.91753,44.011726,anomaly
68.24899,43.173756,anomaly
80.18818,30.117908,anomaly
60.85356,56.66305,anomaly
59.5064,50.70609,anomaly
67.34278,64.78625,anomaly
-3.3475764,94.6453,anomaly
43.691948,58.358547,anomaly
72.173584,35.211224,anomaly
60.038517,50.42595,anomaly
66.98647,43.50737,anomaly
-3.7752984,97.2624,anomaly
67.34258,64.786224,anomaly
60.054775,38.936493,anomaly
59.02682,52.792,anomaly
45.911205,60.111107,anomaly
72.76018,45.971977,anomaly
-3.0209134,94.75396,anomaly
41.410072,47.46682,anomaly
58.52905,-90.67496,anomaly
69.36537,51.50357,anomaly
85.76366,-39.586132,anomaly
65.72001,49.3738,anomaly
60.054832,38.934937,anomaly
65.16875,37.754505,anomaly
54.35858,57.59593,anomaly
59.358692,51.88903,anomaly
65.168846,37.754112,anomaly
45.76682,63.874424,anomaly
75.204315,68.55509,anomaly
67.22509,41.018,anomaly
69.34205,51.535374,anomaly
46.000664,60.13215,anomaly
54.802822,-34.93254,normal
94.814224,18.293335,normal
1.4798429,16.651,normal
-33.55437,-37.46207,normal
1.9990319,42.341465,normal
-11.160667,16.568872,normal
-58.128162,37.48621,normal
-22.671741,9.06949,normal
-16.138214,18.623083,normal
99.312706,-2.8337467,normal
58.745525,20.464087,normal
20.001986,58.466824,normal
-73.21517,-38.336876,normal
